Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
65,2,0,0,0,58138.0,1617,4918,58,635,88,546,172,88,88,8,10,4,3,0,7,1
68,2,0,1,2,46344.0,27,4368,38,11,1,6,2,1,6,1,1,2,2,0,5,0
57,2,1,0,0,71613.0,776,4567,26,426,49,127,111,21,42,8,2,10,1,0,4,1
38,2,1,1,1,26646.0,53,4394,26,11,4,20,10,3,5,2,0,4,2,0,6,0
41,4,1,1,1,58293.0,422,4416,94,173,43,118,46,27,15,5,3,6,5,0,5,2
55,3,1,1,1,62513.0,716,4548,16,520,42,98,0,42,14,6,4,10,2,0,6,2
51,2,0,1,1,55635.0,590,4848,34,235,65,164,50,49,27,7,3,7,4,0,6,2
37,4,1,1,1,33454.0,169,4672,32,76,10,56,3,1,23,4,0,4,2,0,8,0
48,4,1,1,1,30351.0,46,4643,19,14,0,24,3,3,2,3,0,2,1,0,9,0
72,4,1,1,2,5648.0,49,4363,68,28,0,6,1,1,13,1,0,0,1,1,20,0
39,2,1,1,1,51381.5,19,4481,11,5,5,6,0,2,1,1,0,2,1,0,7,0
46,0,1,0,0,7500.0,61,4848,59,6,16,11,11,1,16,2,0,3,1,0,8,0
63,2,0,0,0,63033.0,1102,4481,82,194,61,480,225,112,30,3,4,8,1,0,2,1
70,3,0,1,2,59354.0,310,4481,53,233,2,53,3,5,14,6,1,5,3,0,6,2
35,2,1,0,0,17323.0,46,4882,38,3,14,17,6,1,5,1,0,3,1,0,8,0
76,4,0,0,0,82800.0,1315,4837,23,1006,22,115,59,68,45,7,6,12,1,2,3,1
42,2,1,1,2,41850.0,96,4807,51,53,5,19,2,13,4,3,0,3,3,0,8,0
76,2,1,0,0,37760.0,317,4922,20,84,5,38,150,12,28,4,1,6,2,0,7,0
73,3,1,1,1,76995.0,1782,4713,91,1012,80,498,0,16,176,11,4,9,2,1,5,2
